"epoch","stage","start_sample","end_sample","delta_power","theta_power","alpha_power","sigma_power","beta_power"
516,"N3",1545001,1548000,320563.684631763,54148.2617458715,20139.6122985163,10807.0892422641,26551.5998732236
517,"N1",1548001,1551000,511088.251009437,31719.3324959576,14171.371541105,5901.515272718,20701.6653825214
518,"N3",1551001,1554000,544155.28922882,61070.0098026276,14731.5728764356,7727.1686929602,21232.0895416424
519,"N3",1554001,1557000,550665.689494889,67138.9511594478,16707.873659409,7779.78757712,18532.3782909078
520,"N3",1557001,1560000,719551.857808811,66470.4215352666,12752.2025754961,6788.35088668,14066.9796003756
521,"N3",1560001,1563000,757496.455032266,59215.6947848556,13110.7750860153,6762.221400146,15199.5452067585
522,"N3",1563001,1566000,387501.074988068,29611.6158742086,9451.3374940495,4673.0077519676,11380.1816430124
523,"N3",1566001,1569000,403803.778508591,51474.5719791182,13934.8415741913,5710.6949768259,14289.7971555713
524,"N1",1569001,1572000,522093.950632202,50042.2616091165,14484.5786843601,6317.4244470052,14239.7747188391
525,"N3",1572001,1575000,497990.100623171,77544.2238178561,10719.4914776789,5867.3451394248,11733.7737991913
526,"N3",1575001,1578000,423847.009774755,58561.4785172913,11537.9801234874,5136.9810017602,12819.2526116032
527,"N3",1578001,1581000,167793.372829472,23746.0839467285,8118.7977647674,3950.849646484,9678.4554147398
528,"N3",1581001,1584000,182634.087245433,35219.657896951,12376.0816713876,4011.0553282457,8357.9125141749
529,"N3",1584001,1587000,249742.456348293,35984.0116443217,11213.4521296013,4887.5888565024,11607.6052989004
530,"N1",1587001,1590000,114786.627255578,19016.0992311696,9420.5916640103,4268.9111841905,11559.6073132128
531,"N3",1590001,1593000,514122.932969323,40221.83900137,18664.246304744,9846.9406651781,33183.956376257
532,"N3",1593001,1596000,282892.998365504,26168.2901483564,15154.4958508232,8626.1902672708,27582.6132161294
533,"N3",1596001,1599000,295262.372482459,28109.2614423173,10297.8132137842,4697.2876227948,11143.8198319344
534,"N3",1599001,1602000,196413.593267508,22034.8989671179,9080.8509245963,4814.6835042935,12877.0861865903
535,"N3",1602001,1605000,281070.997784074,28833.8706504695,11619.4759538867,3548.3620628317,11048.2273583244
536,"N3",1605001,1608000,226994.281254209,33439.5510739664,8640.6741868261,3480.1659618949,9829.875832187
537,"N3",1608001,1611000,466871.938590111,35744.776463787,12233.4512019869,4677.7811837168,10801.9152910272
538,"N3",1611001,1614000,517456.476672163,54914.4084634231,15974.8790899055,6862.2756638924,23473.3976125659
539,"N3",1614001,1617000,326563.324287738,39349.2719614544,13199.1184429301,6630.1934181208,16171.3281516566
540,"N3",1617001,1620000,379605.172939392,39593.9514417861,12829.6040115809,7274.7740706415,18978.6801412533
541,"N3",1620001,1623000,316178.73673831,43469.3300255691,10483.6148275226,5430.8986660659,11524.6557852677
542,"N3",1623001,1626000,387939.162920699,37433.7492540259,7699.868014566,3841.1333745039,8251.0672305722
543,"N3",1626001,1629000,298009.577962682,38144.0177632075,8334.4540150405,4759.6776988231,10597.1422155096
544,"N3",1629001,1632000,240865.817513049,48355.5636547742,9599.8145907909,4653.6013195368,8908.0733675676
545,"N3",1632001,1635000,221385.257392643,43395.6024026327,10010.6218489687,4487.4242193019,9837.3959705341
546,"N3",1635001,1638000,371399.547856389,54241.9212143963,11900.8353771402,3768.1450527283,7548.4827204944
547,"N3",1638001,1641000,322784.959293655,52350.2592073985,11472.6389663864,5070.5870152783,10726.0701011669
548,"N3",1641001,1644000,178868.494102692,23516.9955522766,7475.1442030868,3844.762701075,9481.8576074478
549,"N3",1644001,1647000,332924.36939009,48419.3003924019,9289.1018090433,4106.6214352773,11377.125280926
550,"N3",1647001,1650000,332861.313499556,67252.8433753498,10399.2711889943,4305.43793605,9911.282852372
551,"N3",1650001,1653000,247355.521683287,47772.8500461994,9558.5060739796,3742.9163835066,9096.8426167203
552,"N3",1653001,1656000,338796.096913672,53470.6095521952,9398.5891357555,3682.3330825167,9345.5348396326
553,"N3",1656001,1659000,294981.270561541,50808.3665160915,11268.963748462,5222.066259983,11890.0533101894
554,"N3",1659001,1662000,444321.175054426,77966.6989322597,9643.4630756915,3654.4430464476,9826.5768268724
555,"N3",1662001,1665000,430066.45451309,57303.4041315078,10784.2016959564,4971.8851963837,11352.4655250261
556,"N3",1665001,1668000,399888.178271555,44177.4893649821,8280.7712418542,3426.3751369277,9051.330066448
557,"N3",1668001,1671000,185815.598600073,26728.1098594442,8004.8196604649,3999.3507965466,11727.7105917733
558,"N3",1671001,1674000,249401.583960678,32209.507174183,7774.9842550812,3984.7378458966,9305.7807947419
559,"N3",1674001,1677000,226260.042046198,37446.8537612953,8718.3559651307,4295.5607333505,10007.7323954157
560,"N3",1677001,1680000,302250.447514894,34730.7238662467,7682.1845060255,3408.1458401649,7056.4834452568
561,"N3",1680001,1683000,157910.489359665,37183.9806797296,10327.403661753,2042.2950955757,3413.1804777632
562,"N3",1683001,1686000,361219.604888734,50645.2161877675,7235.2500889748,2439.2557628054,3798.7699676537
563,"N3",1686001,1689000,216418.697830942,34363.4723583538,8605.2528650268,2958.6714059308,6187.5252155731
564,"N3",1689001,1692000,312222.467010787,39535.043790653,7411.8225970601,2979.097210725,5403.3008683577
565,"N3",1692001,1695000,255191.655639482,38151.1328056306,8020.1322211613,2448.0240039742,4549.2967106831
566,"N3",1695001,1698000,466172.641752778,51045.096093303,8483.1685583869,3316.7282401328,6832.2276445123
567,"N3",1698001,1701000,376468.052674984,49130.3041051569,8475.4313038312,3418.3843986768,10437.2908788107
568,"N3",1701001,1704000,382409.858612077,57222.2245820151,8493.0766020418,3600.1234043167,7307.1421388272
569,"N3",1704001,1707000,303528.736926322,45647.2806262896,10060.2730123092,3936.1795690485,10242.1266350495
570,"N3",1707001,1710000,353784.159595758,43333.4267231813,8398.2645664492,4052.5397798441,10070.0541305344
571,"N3",1710001,1713000,310954.278889494,33017.3179976084,8015.3501161704,3266.2910965131,7009.9133783358
572,"N3",1713001,1716000,332149.988416753,43976.592108341,5842.1071880863,2813.4076954333,7918.3858192371
573,"N3",1716001,1719000,366783.654628874,47772.7847948608,7943.9802084594,4068.959814232,7237.3654250853
574,"N3",1719001,1722000,331340.44351771,49708.2541862321,10643.8045366894,3962.9251701421,10063.2014787622
575,"N3",1722001,1725000,337510.254498215,47468.096838183,8587.1610383029,3430.2650488155,7234.8396038204
576,"N3",1725001,1728000,255039.940482224,34123.8332440892,11818.1019588097,3348.6493133424,7156.5923362392
577,"N3",1728001,1731000,438167.438347751,45848.1486344874,9946.0587280753,3521.0615714046,6915.3444937627
578,"N3",1731001,1734000,281650.817039635,35061.2037026669,6984.6856116048,2709.2075992335,6852.2163633218
579,"N3",1734001,1737000,209321.553148297,33978.3957115876,7046.7093101936,2698.5658443064,5748.3371788799
580,"N3",1737001,1740000,198203.614509519,28401.548647089,6503.6944839778,2933.6255593798,7292.3658849587
581,"N3",1740001,1743000,277644.831288129,32939.4845371375,7366.4727079126,3148.1070766269,7013.0918542629
582,"N3",1743001,1746000,198875.144519061,30117.3951855232,6273.2542772442,3024.033804331,6983.8532397055
583,"N3",1746001,1749000,300721.716054977,47707.1683323731,8249.2039194351,3670.8479444161,8030.7157219072
584,"N3",1749001,1752000,243369.118698908,43652.5542901735,8383.5189082895,3231.775110113,8814.7596067845
585,"N3",1752001,1755000,367991.03059924,48950.4662532373,8754.5729062246,3517.1479499134,9667.0799808162
586,"N3",1755001,1758000,347145.485236046,57124.7539251463,10245.509120593,3459.9527130519,8337.7897955258
587,"N3",1758001,1761000,316266.31140637,54038.4253501224,8035.5939949851,3700.9421195809,9620.7237642198
588,"N3",1761001,1764000,306145.436474769,42439.0929723755,8115.6067950529,3599.4266627399,9541.6279401203
589,"N3",1764001,1767000,299754.573685095,35923.754936831,7754.4772580038,3444.0723884055,9353.3325683549
590,"N3",1767001,1770000,415879.051237494,41695.4037000885,8299.4995599858,3316.3055672273,7559.2600092395
591,"N3",1770001,1773000,421450.31333076,52212.0751395224,12210.4395070044,4198.3526587412,10491.1402275034
592,"N3",1773001,1776000,461119.590457159,61053.2179211301,12169.1727418239,5643.2936830966,16700.5419944837
593,"N3",1776001,1779000,266028.334669206,47972.9287410383,10042.6380451764,4421.781081163,11698.1644094829
594,"N3",1779001,1782000,318202.228979958,44493.4631251003,9603.1916917546,4442.3885407808,12533.2038347234
595,"N3",1782001,1785000,220509.791925672,42090.4817442725,11629.0001908906,4625.1766794316,12673.033789193
596,"N3",1785001,1788000,178279.85003557,29916.0289332779,7233.7706390812,4058.2959797451,11176.9446114022
597,"N3",1788001,1791000,205908.12511214,49318.9905404177,7772.1216407427,3684.8990885815,9998.5952315411
598,"N3",1791001,1794000,181006.893260095,38483.5413747152,9808.9112216509,3014.7877605762,7277.938963499
599,"N3",1794001,1797000,345934.746542473,49117.9616415999,12442.5112138712,3445.4651519654,9066.2792905103
600,"N3",1797001,1800000,307921.397489311,46336.3216437436,8600.1594924744,3472.3562260587,9615.2627043425
601,"N3",1800001,1803000,315908.61973238,44181.4562323366,11631.1473919038,3787.8262467461,8470.6565587782
602,"N3",1803001,1806000,227212.042962958,31257.6495924327,7385.044399799,3923.1683687997,8794.3465595336
603,"N3",1806001,1809000,244529.987252415,36102.6116924894,8780.582769054,4064.2074026632,10039.4333957869
604,"N3",1809001,1812000,388552.169515048,59258.8731730058,12544.8849771303,4410.251665098,9486.0339146668
605,"N3",1812001,1815000,322635.769838335,50079.1332068435,7894.8831567362,2911.1096506075,7221.321591966
606,"N3",1815001,1818000,338246.74157354,40658.4904261608,7575.2056184635,3227.9428400535,7006.8233749517
607,"N3",1818001,1821000,261965.037930568,40832.487012944,8453.6844300619,3798.2230872888,8324.9235875629
608,"N3",1821001,1824000,297980.89610467,47968.976610249,8150.1314317155,3410.898213443,7910.8134868027
609,"N3",1824001,1827000,304071.636512253,49133.8916307921,8041.9084501808,2862.1127613013,6346.1474665037
610,"N3",1827001,1830000,336650.111552148,56208.8689308973,11619.5657783428,6206.854463079,16371.0479527944
611,"N3",1830001,1833000,306229.948296725,54888.3095948271,16301.1182761852,9076.0565310562,27750.6943283991
612,"N3",1833001,1836000,365616.111563359,38394.1360287647,19349.6459512892,10269.7610676433,33648.3715613563
613,"N1",1836001,1839000,380816.915658231,33703.1794538869,21182.8224088266,14260.8297030506,49785.0663196612
614,"N1",1839001,1842000,357098.171156355,34681.4514807293,15809.9579334495,7533.829816663,27703.9557708952
615,"N3",1842001,1845000,384877.287664336,29529.9397840793,9538.8491879421,6329.3047364957,16077.7937814274
616,"N3",1845001,1848000,280156.559713842,26267.1809968924,10797.9413930249,6776.4025364715,16324.8423012844
617,"N3",1848001,1851000,284790.972468307,33277.5437140826,11005.5930479187,4638.179356656,11369.9547100468
618,"N3",1851001,1854000,301952.491631412,29022.5620393658,8373.294224563,4560.9241582386,11420.2924192525
619,"N3",1854001,1857000,262614.919608157,29535.8453506219,11935.489160599,5706.689006256,13019.7954004439
620,"N3",1857001,1860000,189234.346805178,23418.5992028038,6894.9151123231,3773.2669191259,7904.0933103269
621,"N3",1860001,1863000,332460.677473833,23046.6149527645,13718.4988629391,8169.5631908737,26818.4714576784
622,"N3",1863001,1866000,240713.056106459,26815.8423597051,7359.7258133011,3582.8499970943,9174.4602048166
623,"N3",1866001,1869000,291940.32134337,33245.1009445368,9523.2232235569,4215.0975847615,10004.6745017889
624,"N1",1869001,1872000,164810.025211448,22250.9030168213,9616.4450290555,3915.9267643829,10269.470287572
625,"N3",1872001,1875000,233201.529373333,23940.1245097171,8015.4854302999,3890.5663231049,9240.2130469556
626,"N3",1875001,1878000,199228.690793222,29114.5659570262,8771.6483792364,4287.208773788,10875.2554013212
627,"N3",1878001,1881000,249428.849788424,28600.4805392842,7329.2091739736,3719.1622045389,10530.5238979987
628,"N3",1881001,1884000,282122.167232576,30355.8058900867,9700.3381414978,4688.4378841277,10818.3832017421
629,"N3",1884001,1887000,238440.000671697,27456.7452751452,8654.7600582538,4409.9296590134,9516.073550672
630,"N3",1887001,1890000,356280.168952424,21845.5042329043,9251.1497040806,5496.9648420468,13804.2019361438
631,"N3",1890001,1893000,687187.880366456,33306.647773474,9690.5305403169,5537.1447152064,10672.7989247134
632,"N1",1893001,1896000,383934.184651412,28311.765572052,11586.0695027217,6814.5317629186,22569.4527038788
633,"N3",1896001,1899000,338409.083975425,25716.0018881231,9833.0463157854,7098.2705042575,18374.1644961962
634,"N1",1899001,1902000,381583.834077496,25656.0341631093,13383.7334677541,6839.1441228023,19387.8263994179
635,"N1",1902001,1905000,336602.806819587,32903.1942720587,14506.1390107429,8355.2385252145,25899.8897775092
636,"N3",1905001,1908000,290363.685277929,24371.2114325705,12621.0781169697,7992.3062778009,22646.9538488934
637,"N3",1908001,1911000,268935.19091971,36528.7946256163,10324.9571684092,4096.5105847287,10655.7094523684
638,"N3",1911001,1914000,346993.34241921,38129.2596927451,8735.9367519617,3104.1273324816,6755.9662196477
639,"N3",1914001,1917000,182653.041526104,34318.2631985361,7496.9062299991,3060.4180221809,6951.5124771236
640,"N3",1917001,1920000,164155.25312773,29979.5149839833,8286.571805785,3853.0214126855,8371.7640436676
641,"N3",1920001,1923000,632793.38960982,45338.5189052406,13057.5536866359,5574.3418765817,17076.8948673889
642,"N3",1923001,1926000,217099.605198794,30692.5340864606,8349.4830762597,2643.1432205291,5894.5965457091
643,"N3",1926001,1929000,278929.388405445,39131.3610341463,9179.25562911,3763.7215737061,10925.7824171568
644,"N3",1929001,1932000,171943.265324875,29193.2561380684,10149.56356322,4521.9041155208,14170.4109695019
645,"N3",1932001,1935000,152353.911083746,31370.5830815781,10545.9983533512,5616.4783590109,19094.9720031568
646,"N3",1935001,1938000,251571.56932761,41221.30395108,12060.4222375139,6921.7964953655,26129.0565099903
647,"N3",1938001,1941000,274178.310636426,39054.0309429275,11287.4453279842,3951.6123101569,10281.5638271907
648,"N3",1941001,1944000,196504.951104772,39391.5582163881,11305.1021777057,4508.0500433675,11998.0016109851
649,"N3",1944001,1947000,133372.071711067,38621.7382409159,6881.4653741118,3170.2998004742,10644.1385723208
650,"N3",1947001,1950000,173748.257254204,46011.1636278123,6843.2763793451,3056.6465958682,11013.7756560716
651,"N3",1950001,1953000,281179.164320227,56930.7759594733,11638.97111078,5766.8651240307,20314.0229567109
652,"N3",1953001,1956000,276895.488971761,63353.6683802697,14369.9647183883,4696.2157922849,15357.8575406683
653,"N3",1956001,1959000,180323.403675513,64790.7391557138,11979.8198774039,5246.2090082971,15176.9070334326
654,"N3",1959001,1962000,223900.96253546,71283.4605567832,13654.8544115194,5034.5739937925,15957.2240456973
655,"N3",1962001,1965000,138900.533681321,42533.6122977222,9855.5004097388,3794.7172503004,13490.5117405922
656,"N3",1965001,1968000,210606.978926731,39693.5774128847,11133.0750699761,5302.984977858,19395.1818115411
657,"N3",1968001,1971000,224710.79063551,27735.126087019,9161.1659065679,4473.4497898325,15306.5760472041
658,"N3",1971001,1974000,258571.155459658,33681.7014646724,10307.4128360986,4844.409643649,17467.60718364
659,"N3",1974001,1977000,176291.329756757,26094.390889235,7841.8268239986,3768.6102463602,13788.1660417341
660,"N3",1977001,1980000,208294.099081629,46541.9783715137,11118.6026271316,4864.0722880087,18024.3501444733
661,"N3",1980001,1983000,233895.027590264,34386.6193053849,9953.5946864055,4792.0920372325,18379.6630437433
662,"N3",1983001,1986000,144401.028208227,24706.0008421612,8938.600488297,6546.556227844,20111.6495438039
663,"N3",1986001,1989000,301876.510227505,50484.0954117559,10425.0741297227,5405.5653879397,15726.312398057
664,"N3",1989001,1992000,219905.399986982,29265.0134898378,9672.8574564175,4000.1479205299,15457.626670546
665,"N3",1992001,1995000,237979.43945072,39070.7085653157,10246.2410323727,4515.0625957972,15435.5393585588
666,"N3",1995001,1998000,337558.192018617,46480.5547075519,11133.3924046292,4981.9921682694,15280.731683105
667,"N3",1998001,2001000,452794.873837825,44118.3493620443,10716.2930926799,5893.8012864655,13060.9132726187
668,"N3",2001001,2004000,432994.232279489,57598.33308285,10582.1005054276,3949.9686879907,8591.1352728314
669,"N3",2004001,2007000,338498.578356634,34479.2162574849,8730.2909035071,3915.1734085943,10197.0343521119
670,"N3",2007001,2010000,316312.146849118,49822.7707108553,10784.0192267096,4084.0852065067,9375.9547611295
671,"N3",2010001,2013000,343693.601588588,51065.7539746431,12195.7104668725,4431.7582047771,14769.7949551964
672,"N3",2013001,2016000,410192.813978669,56182.1042216652,10890.2045846672,5076.7652769176,12377.816328998
673,"N3",2016001,2019000,381246.56322359,46782.6877237059,11975.7761818158,5010.7800644511,14242.0305645554
674,"N3",2019001,2022000,298326.896246832,31804.2279534245,11838.4906228738,7286.5205359243,25169.396367666
675,"N3",2022001,2025000,267052.838885946,47078.3714657368,11203.9816381091,4911.1177709627,11558.4381507701
676,"N3",2025001,2028000,374097.911937374,48250.0112655665,10175.4516127463,4274.885493738,8089.7641078302
677,"N3",2028001,2031000,298165.932118824,47231.441846871,8726.9336241687,4037.2590165099,10360.3044733261
678,"N3",2031001,2034000,346568.08316956,38148.2237397541,9035.2309608228,3815.4705552446,8250.5050853949
679,"N3",2034001,2037000,340702.649282629,39888.9112220165,11087.9422876658,4128.8200442592,9354.4850058386
680,"N3",2037001,2040000,267066.482388962,48031.1246118038,9987.5926839433,3751.1399141853,9589.9014543509
681,"N3",2040001,2043000,296922.417428785,36397.8373958198,8087.4106803956,2933.091420089,7944.2431148979
682,"N3",2043001,2046000,413994.846411907,38609.7513018768,11421.3226796398,3356.4811232391,8429.223402487
683,"N3",2046001,2049000,355773.519668692,36273.9001561893,9194.0296418607,4330.4796977143,9832.5888399592
684,"N3",2049001,2052000,220989.036433355,30866.5935802404,8442.3555001976,4321.7791749294,10916.5354993758
685,"N3",2052001,2055000,167557.341490718,33897.5813279523,10976.8541937177,4641.4133855172,13850.4895307531
686,"N3",2055001,2058000,323568.897518973,38689.5577583369,9322.1017062602,5131.3028636576,17153.4823454908
687,"N3",2058001,2061000,234660.638870588,28853.5142060498,8984.5912675355,4148.6696739664,12610.0503402634
688,"N3",2061001,2064000,290471.634254775,34107.0916884149,8192.8555605443,4287.199757996,10709.5411124526
689,"N3",2064001,2067000,158983.728847728,23005.9163906497,7215.9987919748,4069.2129211039,10938.805740157
690,"N3",2067001,2070000,155040.588602468,28951.887285751,8811.9431521549,3682.3519659929,12170.7734636352
691,"N3",2070001,2073000,245592.891453293,27319.6242884057,6431.7128369597,4577.5421034774,12778.3547611699
692,"N3",2073001,2076000,138796.731065002,28809.5320876123,7523.1943883484,4050.9228926358,14227.6190084278
693,"N3",2076001,2079000,203310.849944574,24103.1899333052,8379.3658642609,3971.42937667,11533.117972126
694,"N3",2079001,2082000,253104.055591001,29830.7990756707,9513.4812536766,3679.2054766589,8972.3100352908
695,"N3",2082001,2085000,229841.432545273,33849.4668760272,8161.3435205908,4219.3446678219,12363.1243779282
696,"N3",2085001,2088000,129021.796233438,34163.2112598316,7255.8845462027,3602.6778881137,10142.1963409801
697,"N3",2088001,2091000,173766.700400635,34619.2565550324,6403.2655776115,2342.5680393027,4699.4867384151
698,"N3",2091001,2094000,179031.393329277,30987.0038466923,7288.1821394257,2926.1405914718,5948.0435405235
699,"N3",2094001,2097000,233044.22262963,29862.5901258505,6614.1406681347,3076.5043751151,8365.2218844566
700,"N3",2097001,2100000,214128.108639209,29528.0349480822,7847.7803259115,2975.3842795429,6907.8432848058
701,"N3",2100001,2103000,137856.744242492,30925.4013369932,7470.4879086677,2697.172574489,6873.7745292424
702,"N3",2103001,2106000,175872.111297018,29401.6321851378,7366.6207558291,3428.9009053482,7521.4555249411
703,"N3",2106001,2109000,186638.939749466,28545.972392586,6413.0838450181,2820.3382281443,7928.9684025953
704,"N3",2109001,2112000,197148.75624709,25279.0996450497,7403.0827379378,3256.7693894683,10515.5554978651
705,"N3",2112001,2115000,172014.172687942,31513.5727076184,8781.4969949661,3708.5155721764,9476.9793948066
706,"N3",2115001,2118000,213963.308229211,33629.9539466419,9462.1760867059,3839.0794757206,12472.321904784
707,"N3",2118001,2121000,322374.234928276,68497.3691868753,11634.5902878305,4493.9176548846,14302.9654784706
708,"N3",2121001,2124000,236670.207685724,50342.488197154,9034.970064823,4243.7605573271,14551.3954501653
709,"N3",2124001,2127000,161913.553205684,27827.4641760408,8720.853863565,4060.1745665917,14476.9335829015
710,"N3",2127001,2130000,160978.359785855,46723.1468532203,8654.8786456006,3679.4096076938,10964.048771048
711,"N3",2130001,2133000,294986.358066237,40906.1156160633,8357.808325605,3824.8300359104,10895.6926966819
712,"N3",2133001,2136000,266258.266704983,30603.6219173897,8292.8400459614,4472.1850484141,15900.2549754627
713,"N3",2136001,2139000,271575.026196806,34559.0802355122,10858.0427666035,6518.283241652,24335.0923269338
714,"N3",2139001,2142000,244114.054810568,40454.8610725522,10162.1692405681,4286.4130636604,13184.1560717083
715,"N3",2142001,2145000,256624.340906132,56456.3805310443,9878.0115692122,3376.5314026243,9518.292033124
716,"N3",2145001,2148000,250395.013252775,45105.5618186771,11783.4334894349,4848.8515747772,15097.6237983136
717,"N3",2148001,2151000,255712.501851899,52682.217900569,9803.2910102785,4337.8252665505,10180.2923249456
718,"N3",2151001,2154000,225583.807714451,36476.2193278999,8296.8784423963,3864.603816722,10380.6080193696
719,"N3",2154001,2157000,277162.887566869,36096.2775100047,9077.2887468746,4714.9378814827,15580.4805165663
720,"N3",2157001,2160000,285663.370997917,33127.7404181806,7788.8950616332,3940.752768768,11021.2797985243
721,"N3",2160001,2163000,279071.247517178,50154.1491393474,8903.8366393515,3228.2373858995,8698.7611356673
722,"N3",2163001,2166000,644165.26490176,69822.3088634633,14466.8696965998,5124.6671490127,12888.2167795
723,"N3",2166001,2169000,349170.733357714,62675.1236834084,12456.1412458358,4876.9796848533,13950.609331548
724,"N3",2169001,2172000,236386.992659593,77815.372316364,10244.0188764263,3064.5855494186,10430.9683038919
725,"N3",2172001,2175000,218572.362607158,54845.5656645652,10950.6948474693,3199.0725380883,10451.3639595552
726,"N3",2175001,2178000,287761.073744288,59075.1509645153,12508.5712786248,4768.7269923057,13956.4458845235
727,"N3",2178001,2181000,203072.015291539,44863.4647168276,8691.2304659354,3598.7597169102,11838.563599087
728,"N3",2181001,2184000,216016.796227179,49877.8987919118,9027.7119703762,3942.3259703175,13840.4632107192
729,"N3",2184001,2187000,213427.792954763,50128.263764451,9012.5903444039,3144.1772317474,11722.3509304044
730,"N3",2187001,2190000,217388.401282589,56888.3828073753,10654.2524902064,4480.1403769502,15481.8275322329
731,"N3",2190001,2193000,245374.915104689,39589.0325887526,8015.6530311577,3831.2018392153,12790.6882082901
732,"N3",2193001,2196000,214220.697235182,63067.731936026,11708.1766183053,3807.1080651417,10757.548720706
733,"N3",2196001,2199000,192803.005106914,47536.0528635106,8594.2363443039,3363.8638869139,10944.9166237425
734,"N3",2199001,2202000,246116.019430214,55270.9465037176,9116.0169241403,3836.7306847916,8239.3474044908
735,"N3",2202001,2205000,277419.26437563,57071.8910746417,10410.7239839842,3813.8327543533,9622.9822446403
736,"N3",2205001,2208000,541921.204563039,55658.6434681473,11209.1854045286,3151.5724779754,7402.0432867057
737,"N3",2208001,2211000,258179.577918786,54046.3811699301,7344.3552235008,3112.4447813772,6865.7278414815
738,"N3",2211001,2214000,589839.904030745,34573.953254809,9017.382671514,4022.4924469951,9983.8034370342
739,"N3",2214001,2217000,421319.133190204,45924.062883012,10087.152673404,3369.7923746405,9527.5720843975
740,"N3",2217001,2220000,346506.715207269,60720.7120495236,11121.0128767123,2904.0884026856,7576.7291257047
741,"N3",2220001,2223000,309843.704624748,42977.4620247569,8079.9261325677,2627.9685127214,7912.8654474679
742,"N3",2223001,2226000,341340.968497437,52138.7805017861,20310.6389114978,15342.522115926,46271.1475330664
743,"N3",2226001,2229000,365191.998792431,52046.9674314909,20161.0737484064,11014.7314074172,36485.2016045776
744,"N3",2229001,2232000,322278.105643238,39800.6376848721,12325.8357588963,7872.5823486069,23859.9977456055
745,"N3",2232001,2235000,533034.964024336,48184.8691571676,14798.2618469376,10126.6641255532,24142.9074271574
746,"N3",2235001,2238000,545955.669670916,111618.599559587,25224.8532851117,13473.4886739747,39074.4367726359
747,"N3",2238001,2241000,425772.719016102,89343.8688572681,17170.2448865772,11336.3643163038,33494.0664917969
748,"N3",2241001,2244000,374818.812506852,77732.6774435393,11720.0432439563,4363.6689394599,14667.3068265624
749,"N3",2244001,2247000,376669.13632041,53804.9255198147,13963.4212604716,7792.306684984,22340.6555537579
750,"N3",2247001,2250000,406568.914220232,63266.7345574438,10238.4554761714,4368.4339376151,11191.9542607811
751,"N3",2250001,2253000,352340.422182518,62782.8130334901,10695.6964888686,3595.8739611862,9359.494222622
752,"N3",2253001,2256000,331549.493759395,63828.0281581774,9741.0441770546,3867.3326863937,9536.2024583982
753,"N3",2256001,2259000,241076.108583302,40113.5427558172,8420.818053909,3822.5931750686,11998.0545074874
754,"N3",2259001,2262000,303405.267971698,67414.2344343793,9139.3281604207,3494.5419298366,8328.8568776146
755,"N3",2262001,2265000,379414.478121456,65088.241563414,11816.9980264592,5331.55774064,15235.5804408905
756,"N3",2265001,2268000,326158.976259626,56225.5154229597,20127.7803678078,12503.2098159503,37245.962259003
757,"N3",2268001,2271000,383777.866165588,75282.1260935182,15638.6458123305,6660.1797038235,18282.2368448087
758,"N3",2271001,2274000,359148.079936422,63670.2354380505,15804.6722374811,10767.8381785783,28313.7594194581
759,"N3",2274001,2277000,493342.888021138,66394.579656277,16450.0809692215,7861.8403542624,23977.0867343442
760,"N3",2277001,2280000,337790.408897883,61433.8574312107,9499.7693648432,3178.085077788,8069.3264568207
761,"N3",2280001,2283000,266782.168302424,44763.4841146974,7833.6385536138,2469.2138597166,6565.5812297739
762,"N3",2283001,2286000,270057.156448958,57126.5947333163,10269.6809270042,2843.364770945,6624.9980326255
763,"N3",2286001,2289000,305022.770644547,47206.5818749315,7672.2599939522,2362.3405364142,5953.2790266772
764,"N3",2289001,2292000,344683.689675032,43600.355435287,10728.68208372,3222.2994771787,6907.3849044557
765,"N3",2292001,2295000,244172.627570915,34132.1437204764,7556.9618126594,3093.0080363237,7330.8939876633
766,"N3",2295001,2298000,205752.847160393,41468.7294216353,7093.9756691798,2514.6217227334,6008.8233108668
767,"N3",2298001,2301000,348218.885084597,52619.8713329237,7769.5350381128,2924.1219205333,6369.9912094194
768,"N3",2301001,2304000,384395.679499255,30175.0630457672,8336.9243214067,3773.4479840916,9151.3979892735
769,"N3",2304001,2307000,438057.627644738,34242.8746059674,9241.4502640786,3634.3075384175,9123.5326818372
770,"N3",2307001,2310000,241467.888727874,38128.1610608894,9526.6870713422,3462.3297419711,10141.8091606883
771,"N3",2310001,2313000,255356.148553872,52852.5234891614,10745.0129136901,3835.1181851447,12760.1158758973
772,"N3",2313001,2316000,346723.652844769,53868.0807279354,10106.7499030468,4124.471524482,12803.1877096762
773,"N3",2316001,2319000,326131.864125671,31005.0940676507,7364.6647357572,3356.4036120202,10217.3509941716
774,"N3",2319001,2322000,362520.991023716,54262.2084669683,14342.5779067081,7540.0395715877,19390.0593865583
775,"N3",2322001,2325000,357600.585144375,52888.3273034939,12950.6000469273,6707.8656182258,19482.8037152326
776,"N3",2325001,2328000,448069.050585579,78714.5809204757,12772.3312126345,6520.0723556814,18119.8914803529
777,"N3",2328001,2331000,408932.019238516,57173.33269042,9644.8352086777,3997.4041131651,10979.7889550684
778,"N3",2331001,2334000,302227.770506987,38552.2768045119,7798.8150201764,2905.9056309078,8848.7156289511
779,"N3",2334001,2337000,354951.140800633,42509.2759563129,9517.3798175347,4036.7064242327,12408.7254838859
780,"N3",2337001,2340000,368501.274102479,82225.8899496732,18098.5640032996,10232.8940283864,27754.6215277897
