"frequency_hz","psd_op","psd_scipy_recon","psd_mne"
67.4,0.031011435,0.031011435,0.062669671
67.5,0.029341258,0.029341258,0.05921847
67.6,0.029242236,0.029242236,0.058497431
67.7,0.022363299,0.022363299,0.045271851
67.8,0.024337642,0.024337642,0.048837322
67.9,0.018030856,0.018030856,0.035875204
68,0.016093039,0.016093039,0.032427375
68.1,0.014466331,0.014466331,0.02874286
68.2,0.014041243,0.014041243,0.027838146
68.3,0.011983309,0.011983309,0.023972182
68.4,0.015072817,0.015072817,0.030188611
68.5,0.024464109,0.024464109,0.048260686
68.6,0.017193588,0.017193588,0.034657972
68.7,0.017020874,0.017020874,0.034225567
68.8,0.018137952,0.018137952,0.036324105
68.9,0.022698372,0.022698372,0.045618543
69,0.02263819,0.02263819,0.045429758
69.1,0.022762217,0.022762217,0.045892642
69.2,0.015278251,0.015278251,0.030043897
69.3,0.010984652,0.010984652,0.021858319
69.4,0.01509361,0.01509361,0.029780106
69.5,0.018016077,0.018016077,0.03532305
69.6,0.013418896,0.013418896,0.026491828
69.7,0.013964189,0.013964189,0.027476882
69.8,0.019830398,0.019830398,0.038514401
69.9,0.020026221,0.020026221,0.039564633
70,0.019644156,0.019644156,0.039504547
70.1,0.015949922,0.015949922,0.032346903
70.2,0.015206014,0.015206014,0.03060499
70.3,0.014438388,0.014438388,0.028965386
70.4,0.014718627,0.014718627,0.029396917
70.5,0.014093458,0.014093458,0.028089388
70.6,0.013626877,0.013626877,0.027123615
70.7,0.013782445,0.013782445,0.027432487
70.8,0.011439473,0.011439473,0.023138219
70.9,0.0088674504,0.0088674504,0.017786163
71,0.008902631,0.008902631,0.017864985
71.1,0.015723458,0.015723458,0.031037725
71.2,0.01824081,0.01824081,0.036193875
71.3,0.023148363,0.023148363,0.046490276
71.4,0.022150201,0.022150201,0.04471015
71.5,0.023951448,0.023951448,0.04796884
71.6,0.027172481,0.027172481,0.054209788
71.7,0.024844782,0.024844782,0.049848352
71.8,0.028664066,0.028664066,0.05623071
71.9,0.018528547,0.018528547,0.036468791
72,0.0093233879,0.0093233879,0.018689764
72.1,0.011034819,0.011034819,0.021825067
72.2,0.010188221,0.010188221,0.020577372
72.3,0.012982039,0.012982039,0.025966189
72.4,0.013925127,0.013925127,0.027315104
72.5,0.005997117,0.005997117,0.012118412
72.6,0.0098325271,0.0098325271,0.01942332
72.7,0.011194007,0.011194007,0.022269407
72.8,0.012423284,0.012423284,0.024904916
72.9,0.011178182,0.011178182,0.022483133
73,0.0072428577,0.0072428577,0.014624407
73.1,0.0094993214,0.0094993214,0.01915266
73.2,0.011991049,0.011991049,0.023862805
73.3,0.0087132384,0.0087132384,0.017498576
73.4,0.0089496913,0.0089496913,0.01772072
73.5,0.011522964,0.011522964,0.022390504
73.6,0.010301846,0.010301846,0.020376677
73.7,0.013876613,0.013876613,0.028012257
73.8,0.01439275,0.01439275,0.028957107
73.9,0.01624572,0.01624572,0.032459727
74,0.016380899,0.016380899,0.032744878
74.1,0.014221018,0.014221018,0.02845356
74.2,0.013447347,0.013447347,0.026730621
74.3,0.012369987,0.012369987,0.024824303
74.4,0.010828458,0.010828458,0.021915344
74.5,0.0088990145,0.0088990145,0.017987491
74.6,0.011693587,0.011693587,0.023455572
74.7,0.0083630463,0.0083630463,0.016734208
74.8,0.0095038367,0.0095038367,0.019011981
74.9,0.010847894,0.010847894,0.021271562
75,0.0068899777,0.0068899777,0.013828804
75.1,0.0070082888,0.0070082888,0.0140539
75.2,0.0069483333,0.0069483333,0.013819084
75.3,0.0063218266,0.0063218266,0.01276488
75.4,0.0099434205,0.0099434205,0.019719838
75.5,0.0099557598,0.0099557598,0.019812334
75.6,0.0097152059,0.0097152059,0.019354871
75.7,0.010515042,0.010515042,0.021081333
75.8,0.012226409,0.012226409,0.024482163
75.9,0.011736993,0.011736993,0.023450817
76,0.012683918,0.012683918,0.025025709
76.1,0.006823742,0.006823742,0.013497492
76.2,0.007726398,0.007726398,0.015208896
76.3,0.011818861,0.011818861,0.022768424
76.4,0.0078568185,0.0078568185,0.0155929
76.5,0.0092820512,0.0092820512,0.018261785
76.6,0.0092445064,0.0092445064,0.018402014
76.7,0.0079523654,0.0079523654,0.015942114
76.8,0.010682195,0.010682195,0.021023141
76.9,0.0070946967,0.0070946967,0.014328321
77,0.0067092542,0.0067092542,0.013521022
77.1,0.0071651129,0.0071651129,0.014437083
77.2,0.0066801887,0.0066801887,0.013474912
77.3,0.012490852,0.012490852,0.024191285
77.4,0.010038098,0.010038098,0.019853546
77.5,0.0057995179,0.0057995179,0.011483355
77.6,0.0051939478,0.0051939478,0.01040512
77.7,0.0048395459,0.0048395459,0.0097110215
77.8,0.0061143252,0.0061143252,0.01216417
77.9,0.0058213303,0.0058213303,0.011613106
78,0.0069931237,0.0069931237,0.013722181
78.1,0.0058314235,0.0058314235,0.011425368
78.2,0.0072056205,0.0072056205,0.014309664
78.3,0.0072810167,0.0072810167,0.014649324
78.4,0.008204043,0.008204043,0.016179948
78.5,0.008423502,0.008423502,0.016616608
78.6,0.0085453007,0.0085453007,0.016811369
78.7,0.0089248594,0.0089248594,0.017531399
78.8,0.012161216,0.012161216,0.024349679
78.9,0.011563569,0.011563569,0.02341377
79,0.014906478,0.014906478,0.029962743
79.1,0.012221167,0.012221167,0.02417381
79.2,0.010134896,0.010134896,0.020206584
79.3,0.011348706,0.011348706,0.022561966
79.4,0.010701823,0.010701823,0.021456327
79.5,0.013099491,0.013099491,0.025791371
79.6,0.011720383,0.011720383,0.023474469
79.7,0.009802958,0.009802958,0.019751972
79.8,0.011054238,0.011054238,0.02204759
79.9,0.010696938,0.010696938,0.021575019
80,0.0069733483,0.0069733483,0.0070571164
